year,title,producers,budget,revenue,profitability,genre,rating,winners,production_company,distributors
2016,Moonlight,"Adele Romanski, Dede Gardner, and Jeremy Kleiner",4000000,65336603,93.88,Drama,R,Yes,"A24, Plan B Entertainment, Pastel Productions",A24
2016,Arrival,"Shawn Levy, Dan Levine, Aaron Ryder, and David Linde",47000000,203388186,76.89,"Drama, Sci Fi",PG-13,No,"FilmNation Entertainment, Lava Bear Films, 21 Laps Entertainment","Paramount Pictures, Sony Pictures, Stage 6 Films"
2016,Fences,"Scott Rudin, Denzel Washington, and Todd Black",24000000,64414761,62.74,Drama,PG-13,No,"Bron Creative, Macro Media, Escape Artists, Scott Rudin Productions",Paramount Pictures
2016,Hacksaw Ridge,Bill Mechanic and David Permut,40000000,180563636,77.85,"Biography, Drama, History, War",R,No,"Summit Entertainment, Cross Creek Pictures, Demarest Media","Lionsgate, Icon Film Distribution, IM Global"
2016,Hell or High Water,Carla Hacken and Julie Yorn,12000000,37879877,68.32,"Action, Crime, Drama, Thriller, Western",R,No,"Argent Pictures, IM Global, AI Film, Vendian Entertainment,  Kylin Pictures, Pandemonium Films, Permut Presentations Production","Lionsgate, CBS Films"
2016,Hidden Figures,"Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams, and Theodore Melfi",25000000,235956898,89.40,"Biography, Drama, History",PG,No,"Fox 2000 Pictures, Chernin Entertainment,  Levantine Films",20th Century Fox
2016,La La Land,"Fred Berger, Jordan Horowitz, and Marc Platt",30000000,78988148,62.02,"Comedy, Drama, Music, Musical Romance",PG-13,No,"Summit Entertainment, Gilbert Films,  Marc Platt Productions, 
Impostor Pictures, Black Label Media",Lionsgate
2016,Lion,"Emile Sherman, Iain Canning, and Angie Fielder",12000000,140853810,91.48,"Biography, Drama",PG-13,No,"The Weinstein Company,  Screen Australia, See-Saw Films,  Aquarius Films, Sunstar Entertainment","Transmission Films, Pictureworks"
2016,Manchester by the Sea,"Matt Damon, Kimberly Steward, Chris Moore, Lauren Beck, and Kevin J. Walsh",9000000,78988148,88.61,Drama,R,No,"K Period Media,  Pearl Street Films, The Media Farm, The Affleck / Middleton Project,  B Story","Amazon Studios, Roadside Attractions"
2017,The Shape of Water,Guillermo del Toro and J. Miles Dale,20000000,195333312,89.76,"Drama, Fantasy, Romance",R,No,"Fox Searchlight Pictures, TSG Entertainment, Double Dare You Productions",Fox Searchlight Pictures
2017,Call Me by Your Name,"Peter Spears, Luca Guadagnino, Emilie Georges, and Marco Morabito",3500000,41888660,91.64,Drama,R,Yes,"Frenesy Film Company,  La Cinéfacture, RT Features, M.Y.R.A. Entertainment,  Water's End Productions","Sony Pictures Classics, Warner Bros. Pictures , Memento Films International"
2017,Darkest Hour,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten, and Douglas Urbanski",30000000,150847274,80.11,"Biographhy, Drama, War",PG-13,No,"Perfect World Pictures, Working Title Films","Focus Features , Universal Pictures"
2017,Dunkirk,Emma Thomas and Christopher Nolan,100000000,527016307,81.03,"Biography, Drama, War",PG-13,No,"Warner Bros. Pictures, Syncopy Inc,  RatPac-Dune Entertainment, Canal+, Ciné+, StudioCanal",Warner Bros. Pictures
2017,Get Out,"Sean McKittrick, Jason Blum, Edward H. Hamm Jr., and Jordan Peele",4500000,255589157,98.24,"Horror, Mystery, Thriller",R,No,"Blumhouse Productions, QC Entertainment, Monkeypaw Productions",Universal Pictures
2017,Lady Bird,"Scott Rudin, Eli Bush, and Evelyn O'Neill",10000000,78966486,87.34,"Comedy, Drama",R,No,"IAC Films, Scott Rudin Productions, Management 360","A24, Universal Pictures, Focus Features"
2017,Phantom Thread,"JoAnne Sellar, Paul Thomas Anderson, Megan Ellison, and Daniel Lupi",35000000,47756590,26.71,"Drama, Romance",R,No,"Annapurna Pictures, Ghoulardi Film Company, Perfect World Pictures","Focus Features,  Universal Pictures"
2017,The Post,"Amy Pascal, Steven Spielberg, and Kristie Macosko Krieger",50000000,180419276,72.29,Drama,PG-13,No,"20th Century Fox, DreamWorks Pictures, Participant Media,  Amblin Partners, Amblin Entertainment, Pascal Pictures, 
Star Thrower Entertainment","20th Century Fox,  Universal Pictures,  Mister Smith Entertainment"
2017,"Three Billboards Outside Ebbing, Missouri","Graham Broadbent, Pete Czernin, and Martin McDonagh",15000000,160260573,90.64,"Comedy, Crime, Drama",R,No,"Fox Searchlight Pictures, Film4 Productions, Blueprint Pictures, Cutting Edge Group",Fox Searchlight Pictures
2018,Green Book,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly, and Nick Vallelonga",23000000,321752656,92.85,"Biography, Comedy, Drama, Music,",PG-13,No,"Participant Media, DreamWorks Pictures, Reliance Entertainment, Innisfree Pictures,  Cinetic Media, Alibaba Pictures",Universal Pictures
2018,Black Panther,Kevin Feige,202003951,1347597973,85.01,"Action Adventure, Sci-Fi",PG-13,Yes,Marvel Studios,"Walt Disney Studios, Motion Pictures"
2018,BlacKkKlansman,"Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele, and Spike Lee",15000000,93413709,83.94,"Biography, Comedy, Crime, Drama",R,No,"Blumhouse Productions, Monkeypaw Productions, QC Entertainment, 40 Acres and a Mule Filmworks, Legendary Entertainment, Perfect World Pictures",Focus Features
2018,Bohemian Rhapsody,Graham King,52000000,910809311,94.29,"Biography, Drama, Music",PG-13,No,"20th Century Fox, Regency Enterprises, GK Films, Queen Films",20th Century Fox
2018,The Favourite,"Ceci Dempsey, Ed Guiney, Lee Magiday, and Yorgos Lanthimos",15000000,95918706,84.36,"Biography, Comedy, Drama",R,No,"Scarlet Films, Element Pictures, Arcana, Film4 Productions, Waypoint Entertainment",Fox Searchlight Pictures
2018,Roma,Gabriela Rodríguez and Alfonso Cuarón,15000000,1140769,"-1,214.90",Drama,R,No,"Espectáculos Fílmicos El Coyúl, Pimienta Films, Participant Media, Esperanto Filmoj","Espectáculos Fílmicos El Coyúl, Netflix"
2018,A Star Is Born,"Bill Gerber, Bradley Cooper, and Lynette Howell Taylor",36000000,436188866,91.75,"Drama, Music, Romance",R,No,"Metro-Goldwyn-Mayer, Live Nation Productions,  Gerber Pictures, Peters Entertainment",Warner Bros. Pictures
2018,Vice,"Dede Gardner, Jeremy Kleiner, Adam McKay, and Kevin Messick",60000000,76073488,21.13,"Biography, Comedy, Drama",R,No,"Plan B Entertainment, Gary Sanchez Productions, Annapurna Pictures",Mirror Releasing
2019,Parasite,Kwak Sin-ae and Bong Joon-ho,11400000,263020130,95.67,"Comedy, Drama, Thriller",R,No,Barunson E&A,CJ Entertainment
2019,Ford v Ferrari,"Peter Chernin, Jenno Topping, and James Mangold",97600000,225508210,56.72,"Action, Biography, Drama, Sport",PG-13,Yes,"Chernin Entertainment, TSG Entertainment, Turnpike Films",20th Century Fox
2019,The Irishman,"Martin Scorsese, Robert De Niro, Jane Rosenthal, and Emma Tillinger Koskoff",250000000,968853,"-25,703.71","Biography, Crime, Drama",R,No,"TriBeCa Productions, Sikelia Productions, Winkler Films",Netflix
2019,Jojo Rabbit,"Carthew Neal, Taika Waititi, and Chelsea Winstanley",14000000,90335025,84.50,"Comedy, Drama, War",PG-13,No,"Fox Searchlight Pictures, TSG Entertainment, Defender Films, Piki Films",Fox Searchlight Pictures
